customer_id,customer_segment,registration_date,total_spent,avg_order_value,total_orders,first_purchase,last_purchase,customer_lifetime_days,recency_days,spending_tier,order_frequency_tier
CUST_00077,Regular,2022-09-16,2918.88,416.98285714285714,7,2023-01-04,2024-08-11,585,21,Medium,Infrequent
CUST_00078,Premium,2022-05-17,3142.77,448.96714285714285,7,2022-02-26,2024-01-01,674,244,Medium,Infrequent
CUST_00079,Regular,2022-08-13,1201.3,171.6142857142857,7,2022-12-22,2024-02-04,409,210,Low,Infrequent
CUST_00080,Premium,2022-06-21,5751.799999999999,575.18,10,2022-01-29,2024-04-20,812,134,Premium,Occasional
CUST_00081,Regular,2022-11-11,834.12,139.02,6,2022-08-22,2024-05-01,618,123,Low,Infrequent
CUST_00082,Regular,2022-04-06,1530.72,153.072,10,2022-02-09,2024-08-26,929,6,Low,Occasional
CUST_00083,Regular,2022-06-29,3234.82,404.3525,8,2022-09-08,2024-09-01,724,0,Medium,Infrequent
CUST_00084,Regular,2022-02-21,3395.2000000000003,308.6545454545455,11,2022-10-09,2024-06-30,630,63,High,Regular
CUST_00085,Regular,2022-10-22,2111.2999999999997,211.12999999999997,10,2022-06-06,2024-08-15,801,17,Medium,Occasional
CUST_00086,Regular,2022-04-23,2069.44,229.9377777777778,9,2022-03-01,2024-07-01,853,62,Medium,Occasional
CUST_00087,Premium,2022-03-22,4016.17,446.24111111111114,9,2022-01-01,2024-07-18,929,45,High,Occasional
CUST_00088,Regular,2022-01-02,3814.88,423.8755555555556,9,2022-04-02,2024-05-21,780,103,High,Occasional
CUST_00089,Regular,2022-02-23,2341.44,334.49142857142857,7,2022-04-19,2024-08-17,851,15,Medium,Infrequent
CUST_00090,Premium,2022-08-12,9177.89,834.3536363636363,11,2022-01-04,2024-01-27,753,218,Premium,Regular
CUST_00091,Budget,2022-05-06,982.88,140.41142857142856,7,2022-09-16,2024-07-12,665,51,Low,Infrequent
CUST_00092,Premium,2022-06-21,8671.93,788.3572727272727,11,2022-01-27,2024-07-19,904,44,Premium,Regular
CUST_00093,Regular,2022-07-17,1511.68,151.168,10,2022-02-14,2024-07-12,879,51,Low,Occasional
CUST_00094,Regular,2022-11-20,1599.67,177.7411111111111,9,2022-02-07,2024-07-06,880,57,Low,Occasional
CUST_00095,Premium,2022-07-03,3245.29,811.3225,4,2022-09-01,2024-08-15,714,17,Medium,Infrequent
CUST_00096,Regular,2022-09-12,2711.33,271.133,10,2022-03-26,2024-05-10,776,114,Medium,Occasional
CUST_00097,Budget,2022-11-21,2029.5500000000002,338.2583333333334,6,2022-05-22,2024-07-10,780,53,Medium,Infrequent
CUST_00098,Regular,2022-07-17,748.06,74.806,10,2022-01-20,2024-08-30,953,2,Low,Occasional
CUST_00099,Regular,2022-08-28,3755.29,375.529,10,2022-01-08,2024-05-22,865,102,High,Occasional
CUST_00100,Budget,2022-07-20,3718.22,309.85166666666663,12,2022-01-09,2024-07-04,907,59,High,Regular
CUST_00101,Regular,2022-11-22,1409.23,140.923,10,2022-02-27,2024-05-28,821,96,Low,Occasional
CUST_00102,Regular,2022-09-16,5197.96,433.16333333333336,12,2022-06-28,2024-07-19,752,44,High,Regular
CUST_00103,Regular,2022-12-12,1458.67,132.60636363636365,11,2022-03-01,2024-08-15,898,17,Low,Regular
CUST_00104,Regular,2022-05-27,2282.11,253.5677777777778,9,2022-02-26,2024-08-16,902,16,Medium,Occasional
CUST_00105,Regular,2022-07-18,4968.66,709.8085714285714,7,2022-08-11,2024-08-19,739,13,High,Infrequent
CUST_00106,Premium,2022-05-08,6762.08,422.63,16,2022-01-27,2024-04-13,807,141,Premium,Frequent
CUST_00107,Regular,2022-12-26,5433.55,388.1107142857143,14,2022-06-04,2024-09-01,820,0,Premium,Frequent
CUST_00108,Premium,2022-05-31,6560.4,504.6461538461538,13,2022-03-01,2024-07-22,874,41,Premium,Frequent
CUST_00109,Regular,2022-10-25,10516.17,876.3475,12,2022-01-24,2024-06-13,871,80,Premium,Regular
CUST_00110,Regular,2022-09-09,2070.31,207.031,10,2022-04-10,2024-08-30,873,2,Medium,Occasional
CUST_00111,Premium,2022-04-22,7615.79,951.97375,8,2022-03-02,2024-02-14,714,200,Premium,Infrequent
CUST_00112,Regular,2022-03-01,3837.7200000000003,319.81,12,2022-05-30,2024-08-24,817,8,High,Regular
CUST_00113,Regular,2022-10-31,6378.4,398.65,16,2022-01-12,2024-08-13,944,19,Premium,Frequent
CUST_00114,Budget,2022-02-06,3745.0299999999997,340.4572727272727,11,2022-01-29,2024-07-22,905,41,High,Regular
CUST_00115,Budget,2022-01-09,2225.4,247.26666666666668,9,2022-04-15,2024-06-04,781,89,Medium,Occasional
CUST_00116,Regular,2022-05-27,5406.06,386.1471428571429,14,2022-03-24,2024-08-22,882,10,Premium,Frequent
CUST_00117,Budget,2022-05-11,908.25,129.75,7,2022-05-31,2024-01-20,599,225,Low,Infrequent
CUST_00118,Budget,2022-02-23,2938.68,293.868,10,2022-01-24,2024-08-14,933,18,Medium,Occasional
CUST_00119,Budget,2022-04-26,3487.2200000000003,498.17428571428576,7,2022-03-08,2023-11-21,623,285,High,Infrequent
CUST_00120,Premium,2022-04-14,956.53,318.8433333333333,3,2022-05-04,2024-01-01,607,244,Low,Infrequent
CUST_00121,Regular,2022-08-15,11939.56,852.8257142857143,14,2022-01-30,2024-08-03,916,29,Premium,Frequent
CUST_00122,Regular,2022-04-09,3043.83,179.04882352941175,17,2022-04-10,2024-08-31,874,1,Medium,Frequent
CUST_00123,Budget,2022-12-04,1801.18,300.19666666666666,6,2022-03-21,2023-07-20,486,409,Low,Infrequent
CUST_00124,Regular,2022-06-12,7555.6900000000005,472.23062500000003,16,2022-03-24,2024-03-05,712,180,Premium,Frequent
CUST_00125,Regular,2022-06-18,4540.79,412.7990909090909,11,2022-02-28,2023-12-13,653,263,High,Regular
CUST_00126,Premium,2022-03-09,1564.7,156.47,10,2022-12-25,2024-08-29,613,3,Low,Occasional
CUST_00127,Regular,2022-10-04,4776.92,398.07666666666665,12,2022-01-20,2024-08-19,942,13,High,Regular
CUST_00128,Premium,2022-05-15,5467.84,546.784,10,2022-05-16,2024-08-09,816,23,Premium,Occasional
CUST_00129,Budget,2022-05-08,4636.88,772.8133333333334,6,2022-09-13,2023-12-04,447,272,High,Infrequent
CUST_00130,Regular,2022-01-22,866.89,173.378,5,2022-02-02,2024-05-18,836,106,Low,Infrequent
CUST_00131,Regular,2022-02-07,5442.88,362.8586666666667,15,2022-01-05,2024-03-15,800,170,Premium,Frequent
CUST_00132,Budget,2022-02-20,526.63,75.23285714285714,7,2022-02-13,2024-08-09,908,23,Low,Infrequent
CUST_00133,Budget,2022-10-10,1348.69,112.39083333333333,12,2022-06-09,2024-05-24,715,100,Low,Regular
CUST_00134,Regular,2022-10-04,3242.54,360.28222222222223,9,2022-01-30,2023-12-02,671,274,Medium,Occasional
CUST_00135,Regular,2022-10-11,3293.81,365.9788888888889,9,2022-09-19,2024-07-31,681,32,Medium,Occasional
CUST_00136,Regular,2022-11-13,4115.78,342.9816666666666,12,2022-02-17,2024-04-18,791,136,High,Regular
CUST_00137,Regular,2022-01-04,8658.75,721.5625,12,2022-02-17,2024-08-28,923,4,Premium,Regular
CUST_00138,Premium,2022-02-18,9074.04,604.936,15,2022-01-06,2024-08-11,948,21,Premium,Frequent
CUST_00139,Premium,2022-06-21,8407.2,494.54117647058825,17,2022-01-26,2024-04-07,802,147,Premium,Frequent
CUST_00140,Budget,2022-02-15,1151.1799999999998,230.23599999999996,5,2022-03-12,2024-07-03,844,60,Low,Infrequent
CUST_00141,Budget,2022-04-09,1282.41,128.241,10,2022-08-13,2024-05-14,640,110,Low,Occasional
CUST_00142,Budget,2022-02-06,1190.77,148.84625,8,2022-04-14,2024-05-05,752,119,Low,Infrequent
CUST_00143,Budget,2022-10-29,2686.84,335.855,8,2022-03-21,2024-07-19,851,44,Medium,Infrequent
CUST_00144,Budget,2022-04-09,3139.43,224.24499999999998,14,2022-03-16,2024-08-30,898,2,Medium,Frequent
CUST_00145,Budget,2022-04-26,3301.5,366.8333333333333,9,2022-01-23,2024-07-17,906,46,High,Occasional
CUST_00146,Regular,2022-06-10,1641.16,149.19636363636366,11,2022-01-17,2024-08-26,952,6,Low,Regular
CUST_00147,Regular,2022-05-08,7582.88,631.9066666666666,12,2022-07-04,2024-08-05,763,27,Premium,Regular
CUST_00148,Regular,2022-08-11,5547.5,554.75,10,2022-02-26,2024-03-26,759,159,Premium,Occasional
CUST_00149,Budget,2022-11-19,6657.85,369.8805555555556,18,2022-01-27,2024-08-05,921,27,Premium,Frequent
CUST_00150,Regular,2022-10-07,636.85,212.28333333333333,3,2022-09-22,2023-11-13,417,293,Low,Infrequent
CUST_00151,Regular,2022-12-08,3108.3599999999997,282.5781818181818,11,2022-07-18,2024-02-25,587,189,Medium,Regular
CUST_00152,Regular,2022-05-07,2185.94,437.188,5,2022-08-24,2024-06-16,662,77,Medium,Infrequent
CUST_00153,Regular,2022-09-30,4720.72,363.13230769230773,13,2022-04-25,2024-07-12,809,51,High,Frequent
CUST_00154,Budget,2022-10-26,2765.4,251.4,11,2022-04-04,2024-05-03,760,121,Medium,Regular
CUST_00155,Budget,2022-02-08,1525.56,217.93714285714285,7,2022-04-02,2024-03-17,715,168,Low,Infrequent
CUST_00156,Regular,2022-09-04,2535.68,316.96,8,2022-02-13,2024-07-16,884,47,Medium,Infrequent
CUST_00157,Regular,2022-11-02,701.85,140.37,5,2022-02-01,2023-10-03,609,334,Low,Infrequent
CUST_00158,Budget,2022-01-13,2367.83,215.25727272727272,11,2022-04-27,2024-04-11,715,143,Medium,Regular
CUST_00159,Premium,2022-11-09,1094.69,156.3842857142857,7,2022-02-21,2023-09-04,560,363,Low,Infrequent
CUST_00160,Regular,2022-01-20,5129.54,394.58,13,2022-02-01,2024-06-30,880,63,High,Frequent
CUST_00161,Regular,2022-05-22,2066.46,295.2085714285714,7,2022-06-08,2024-03-05,636,180,Medium,Infrequent
CUST_00162,Budget,2022-05-23,4876.200000000001,375.09230769230777,13,2022-02-06,2024-08-12,918,20,High,Frequent
CUST_00163,Regular,2022-11-18,923.03,76.91916666666667,12,2022-05-20,2024-08-26,829,6,Low,Regular
CUST_00164,Regular,2022-12-08,4550.65,350.04999999999995,13,2022-02-03,2024-08-24,933,8,High,Frequent
CUST_00165,Regular,2022-07-05,5884.71,490.3925,12,2022-03-17,2024-07-22,858,41,Premium,Regular
CUST_00166,Regular,2022-05-05,774.9,110.7,7,2022-02-15,2024-07-18,884,45,Low,Infrequent
CUST_00167,Budget,2022-02-27,2458.89,245.88899999999998,10,2022-01-10,2023-12-10,699,266,Medium,Occasional
CUST_00168,Premium,2022-06-29,9064.79,1133.09875,8,2022-10-10,2024-08-16,676,16,Premium,Infrequent
CUST_00169,Premium,2022-09-28,1385.87,197.98142857142855,7,2022-02-11,2024-07-21,891,42,Low,Infrequent
CUST_00170,Regular,2022-04-11,1837.9,262.5571428571429,7,2022-02-06,2024-06-14,859,79,Low,Infrequent
CUST_00171,Regular,2022-02-22,5052.43,360.8878571428572,14,2022-01-09,2024-04-23,835,131,High,Frequent
CUST_00172,Regular,2022-04-18,2757.5699999999997,183.838,15,2022-05-13,2024-08-22,832,10,Medium,Frequent
CUST_00173,Regular,2022-07-15,10023.39,626.461875,16,2022-01-07,2024-08-31,967,1,Premium,Frequent
CUST_00174,Budget,2022-12-16,1350.6999999999998,225.11666666666665,6,2022-02-25,2024-08-21,908,11,Low,Infrequent
CUST_00175,Regular,2022-11-07,2349.56,213.59636363636363,11,2022-05-28,2024-07-07,771,56,Medium,Regular
CUST_00176,Premium,2022-05-24,7354.63,490.3086666666667,15,2022-01-13,2024-07-16,915,47,Premium,Frequent
CUST_00177,Budget,2022-05-04,4097.97,409.797,10,2022-07-11,2024-05-29,688,95,High,Occasional
CUST_00178,Budget,2022-05-27,777.9300000000001,77.793,10,2022-05-17,2024-08-16,822,16,Low,Occasional
CUST_00179,Budget,2022-11-15,1921.89,128.126,15,2022-01-14,2024-02-01,748,213,Low,Frequent
CUST_00180,Regular,2022-02-27,6087.21,553.3827272727273,11,2022-05-21,2024-08-07,809,25,Premium,Regular
CUST_00181,Premium,2022-08-17,6090.929999999999,609.093,10,2022-01-05,2024-08-10,948,22,Premium,Occasional
CUST_00182,Premium,2022-11-14,4323.3,617.6142857142858,7,2022-10-18,2024-08-19,671,13,High,Infrequent
CUST_00183,Budget,2022-05-09,2156.42,196.0381818181818,11,2022-08-01,2024-04-26,634,128,Medium,Regular
CUST_00184,Premium,2022-01-01,12057.289999999999,2411.4579999999996,5,2023-05-08,2024-01-03,240,242,Premium,Infrequent
CUST_00185,Regular,2022-04-06,4157.41,593.9157142857142,7,2022-02-24,2024-03-15,750,170,High,Infrequent
CUST_00186,Regular,2022-02-17,4098.86,341.57166666666666,12,2022-12-11,2024-08-25,623,7,High,Regular
CUST_00187,Premium,2022-08-25,1634.2099999999998,181.57888888888886,9,2022-03-04,2024-08-27,907,5,Low,Occasional
CUST_00188,Regular,2022-09-29,3141.46,392.6825,8,2022-01-17,2024-03-25,798,160,Medium,Infrequent
CUST_00189,Regular,2022-07-11,4364.34,545.5425,8,2022-01-03,2024-07-16,925,47,High,Infrequent
CUST_00190,Regular,2022-10-05,6685.46,607.7690909090909,11,2022-03-08,2024-06-29,844,64,Premium,Regular
CUST_00191,Budget,2022-03-17,6800.08,618.1890909090909,11,2022-05-28,2024-04-16,689,138,Premium,Regular
CUST_00192,Regular,2022-03-27,3515.74,319.6127272727272,11,2022-03-23,2024-03-15,723,170,High,Regular
CUST_00193,Premium,2022-08-08,10384.08,649.005,16,2022-01-25,2024-06-17,874,76,Premium,Frequent
CUST_00194,Premium,2022-04-04,3691.92,283.99384615384616,13,2022-05-10,2024-08-28,841,4,High,Frequent
CUST_00195,Budget,2022-07-23,2757.04,250.64,11,2022-01-26,2024-08-23,940,9,Medium,Regular
CUST_00196,Premium,2022-12-07,4846.12,807.6866666666666,6,2022-01-15,2023-12-30,714,246,High,Infrequent
CUST_00197,Regular,2022-10-16,1694.03,211.75375,8,2022-02-05,2024-07-19,895,44,Low,Infrequent
CUST_00198,Regular,2022-12-23,5079.18,461.74363636363637,11,2023-03-07,2024-08-01,513,31,High,Regular
CUST_00199,Regular,2022-01-10,1395.66,139.566,10,2022-01-03,2024-02-17,775,197,Low,Occasional
CUST_00200,Budget,2022-04-10,978.17,195.634,5,2022-11-25,2024-08-04,618,28,Low,Infrequent
CUST_00201,Premium,2022-08-11,2663.74,332.9675,8,2022-03-15,2024-06-04,812,89,Medium,Infrequent
CUST_00202,Premium,2022-05-27,2055.9500000000003,513.9875000000001,4,2022-06-01,2023-05-10,343,480,Medium,Infrequent
CUST_00203,Regular,2022-09-14,3688.28,409.80888888888893,9,2022-04-01,2024-08-28,880,4,High,Occasional
CUST_00204,Regular,2022-01-04,3323.29,255.6376923076923,13,2022-01-24,2024-05-15,842,109,High,Frequent
CUST_00205,Regular,2022-12-02,2172.87,217.28699999999998,10,2022-05-10,2024-06-30,782,63,Medium,Occasional
CUST_00206,Regular,2022-06-09,2688.82,336.1025,8,2022-05-11,2024-03-09,668,176,Medium,Infrequent
CUST_00207,Budget,2022-06-01,2024.91,184.08272727272728,11,2022-09-23,2024-08-20,697,12,Medium,Regular
CUST_00208,Regular,2022-06-12,1976.86,247.1075,8,2022-06-17,2023-11-06,507,300,Low,Infrequent
CUST_00209,Regular,2022-06-28,4619.700000000001,1154.9250000000002,4,2022-02-13,2024-07-19,887,44,High,Infrequent
CUST_00210,Budget,2022-09-25,3927.5299999999997,561.0757142857143,7,2022-02-11,2024-01-09,697,236,High,Infrequent
CUST_00211,Regular,2022-06-17,2142.87,357.145,6,2022-06-02,2023-10-29,514,308,Medium,Infrequent
CUST_00212,Budget,2022-02-13,2744.5099999999998,171.53187499999999,16,2022-03-16,2024-07-01,838,62,Medium,Frequent
CUST_00213,Regular,2022-01-12,2163.75,216.375,10,2022-03-13,2024-01-05,663,240,Medium,Occasional
CUST_00214,Premium,2022-09-10,7798.33,866.4811111111111,9,2022-01-19,2024-07-06,899,57,Premium,Occasional
CUST_00215,Premium,2022-02-04,10884.75,725.65,15,2022-06-13,2024-08-14,793,18,Premium,Frequent
CUST_00216,Regular,2022-03-31,773.6,128.93333333333334,6,2022-02-04,2024-07-28,905,35,Low,Infrequent
CUST_00217,Regular,2022-03-31,2203.34,200.30363636363637,11,2022-06-19,2024-08-16,789,16,Medium,Regular
CUST_00218,Regular,2022-04-25,3255.42,203.46375,16,2023-02-20,2024-08-31,558,1,Medium,Frequent
CUST_00219,Regular,2022-07-15,4355.9400000000005,335.07230769230773,13,2022-01-19,2024-08-05,929,27,High,Frequent
CUST_00220,Regular,2022-04-24,296.44,98.81333333333333,3,2022-11-19,2024-08-08,628,24,Low,Infrequent
CUST_00221,Regular,2022-08-05,1308.38,145.37555555555556,9,2022-10-25,2024-06-09,593,84,Low,Occasional
CUST_00222,Budget,2022-09-06,3039.19,379.89875,8,2022-05-14,2024-05-01,718,123,Medium,Infrequent
CUST_00223,Regular,2022-12-23,4849.65,404.1375,12,2022-02-13,2024-06-20,858,73,High,Regular
CUST_00224,Budget,2022-07-11,2530.7200000000003,316.34000000000003,8,2022-02-07,2024-09-01,937,0,Medium,Infrequent
CUST_00225,Regular,2022-04-09,1843.6499999999999,184.36499999999998,10,2022-01-15,2024-07-04,901,59,Low,Occasional
CUST_00226,Regular,2022-04-06,4546.08,454.608,10,2022-01-09,2024-01-15,736,230,High,Occasional
CUST_00227,Regular,2022-07-09,5345.99,890.9983333333333,6,2022-02-01,2024-06-18,868,75,Premium,Infrequent
CUST_00228,Regular,2022-09-25,6968.79,696.879,10,2022-02-16,2024-08-11,907,21,Premium,Occasional
CUST_00229,Regular,2022-01-13,2922.2799999999997,292.22799999999995,10,2022-01-03,2024-07-01,910,62,Medium,Occasional
CUST_00230,Budget,2022-12-21,5670.01,315.0005555555556,18,2022-01-30,2024-06-14,866,79,Premium,Frequent
CUST_00231,Premium,2022-09-30,2368.6,236.85999999999999,10,2022-03-10,2024-01-23,684,222,Medium,Occasional
CUST_00232,Regular,2022-03-25,2446.44,222.40363636363637,11,2022-03-01,2024-04-14,775,140,Medium,Regular
CUST_00233,Budget,2022-12-08,496.38,49.638,10,2022-01-09,2024-05-25,867,99,Low,Occasional
CUST_00234,Regular,2022-01-19,974.79,121.84875,8,2022-03-31,2024-01-12,652,233,Low,Infrequent
CUST_00235,Regular,2022-08-21,5089.46,299.38,17,2022-02-27,2024-08-16,901,16,High,Frequent
CUST_00236,Budget,2022-09-22,1185.8799999999999,131.76444444444442,9,2022-02-21,2024-07-31,891,32,Low,Occasional
